Title,imdbID,tmdbId
Godzilla vs. Biollante,tt0097444,18289.0
Evilspeak,tt0082346,39868.0
One Dark Night,tt0086050,37935.0
Loose Screws,tt5050058,
Trancers,tt0090192,5677.0
The Hills Have Eyes Part II,tt0089274,18477.0
Intruder,tt0095379,31150.0
Cannibal Holocaust,tt0078935,8689.0
Blood Beach,tt0082083,37843.0
Christmas Evil,tt0081793,27230.0
Inseminoid,tt0084090,46364.0
Chopping Mall,tt0090837,28941.0
Demons,tt0089013,14029.0
Sid & Nancy - Ex & Pop,tt9760550,
Running Hot,tt0088025,88338.0
Demons 2,tt0090930,40342.0
A Breed Apart,tt0087001,96404.0
Trances,tt0406280,215407.0
The Brave Little Toaster,tt0092695,19933.0
House,tt0412142,
Dead & Buried,tt0082242,24274.0
Rock 'n' Roll Nightmare,tt0093873,36762.0
The Emperor's Naked Army Marches On,tt0092963,51929.0
Creature,tt0088961,58903.0
Bliss,tt10333426,
Meet the Feebles,tt0097858,8216.0
The Prowler,tt0082951,44247.0
Chillers,tt0092750,97971.0
The Church,tt0094860,40364.0
Bride of Re-Animator,tt0099180,18111.0
Basket Case,tt0083624,27813.0
Whitey,tt4273400,
Sole Survivor,tt0181012,29611.0
BMX Bandits,tt0085204,17381.0
Troll,tt11116912,
Ms .45,tt0082776,22171.0
Scared to Death,tt0039800,
De vlaschaard,tt0086553,63044.0
Mio in the Land of Faraway,tt0093543,14499.0
Escape to Victory,tt9735356,
Elvis and Me,tt0095089,23178.0
The Librarian: Return to King Solomon's Mines,tt0455596,14208.0
Armour of God,tt0091431,10974.0
Inside Story: National Lampoon's Vacation,tt7642624,
Twinkle Twinkle Lucky Stars,tt0090342,18707.0
Fitzcarraldo,tt0083946,9343.0
Rough Cut,tt1345734,17593.0
Road House,tt3359350,
The Kiss,tt0139738,94570.0
Galaxina,tt0080771,33155.0
The Punisher,tt5675620,
They Won't Stay Dead: A Look at Return of the Living Dead Part II,tt2199681,
Cameron's Closet,tt0097008,59735.0
Felix the Cat: The Movie,tt0259308,36523.0
Cherry 2000,tt0092746,15785.0
Martial Arts of Shaolin,tt0091607,37032.0
Revolution,tt2070791,
2010,tt0883356,
Moonwalker,tt0095655,13192.0
Lion of the Desert,tt0081059,26843.0
Supergirl,tt4016454,
Shaka Zulu,tt0086798,75926.0
Juha,tt0158692,55257.0
The Wind in the Willows,tt0042044,
Absence of the Good,tt0198279,53882.0
Cannibal! The Musical,tt0115819,13063.0
Return-of-the-Living-Dead-3: Ashes to Ashes,tt6270244,
Running Time,tt0120042,81048.0
Bullet in the Head,tt0099426,11909.0
Dingo,tt0104109,66634.0
Wendy Williams: What a Mess!,tt13840726,
Loaded,tt0893406,14607.0
Loose Cannons,tt1405810,40794.0
Night of the Demons 2,tt0110667,24925.0
Prince Vaali,tt1858770,
133) Jason Goes to Hell: The Final Friday (1993),tt25690636,
A Gun for Jennifer,tt0160339,129311.0
Robinson in Space,tt0120028,54838.0
Just Looking,tt0162236,100975.0
Embrace of the Vampire,tt0109723,18392.0
Revolutionary Girl Utena: The Movie,tt0243558,19738.0
The Ride,tt6102104,
Wishmaster 2: Evil Never Dies,tt0156182,12594.0
Werewolf,tt0118137,87874.0
Puerto Escondido,tt0105188,46028.0
Doctor Who,tt0436992,
From Dusk Till Dawn 3: The Hangman's Daughter,tt0120695,10213.0
Amarkalam,tt0984177,69427.0
Habit,tt0113241,28671.0
Leather Jacket Love Story,tt0119508,188870.0
Puppet Master II,tt0100438,26954.0
The Delivery,tt0159603,55069.0
Three Lives and Only One Death,tt0117968,55049.0
Dad Savage,tt0118915,75579.0
Cyberjack,tt0112763,2072.0
Basket Case 2,tt0099108,27815.0
Changing Habits,tt0115865,114776.0
Short Sharp Shock,tt0162426,407.0
Roadracers,tt0111002,26682.0
Ringu,tt0178868,2671.0
Anjali,tt0099043,223365.0
"Ryaba, My Chicken",tt0110289,159479.0
Carnival of Souls,tt0055830,16093.0
Rasen,tt0237982,
The Match Factory Girl,tt0098532,7974.0
Demon Wind,tt0099401,58899.0
Seasick,tt15090794,
The Dentist,tt0116075,9568.0
Lush Life,tt0107464,55144.0
The Demolitionist,tt0112843,89904.0
The Oak,tt0103969,41678.0
The Tough Ones,tt0075152,52808.0
The Immortals,tt0113394,29231.0
Sunday,tt1039989,
"Creatures From the Abyss, aka Plankton (1994)",tt24909318,
Witchcraft II: The Temptress,tt0100943,84951.0
Sara,tt0120066,61999.0
Godfather,tt13130308,
Bad Boy Bubby,tt0106341,14135.0
After the Rain,tt0181960,15319.0
Whispering Corridors,tt0241073,40254.0
Begotten,tt0101420,1483.0
Aasai,tt0377321,69422.0
Squeeze,tt0117724,49235.0
Bells from the Deep: Faith and Superstition in Russia,tt0106384,102691.0
Return with Honor,tt0176093,56235.0
Maniac Cop 2,tt0100107,28090.0
Ticks,tt0108339,34098.0
Doctor Mordrid,tt0104115,1877.0
Hard Boiled,tt0104684,11782.0
Kadhal Kottai,tt0984202,69423.0
Esa ja Vesa - auringonlaskun ratsastajat,tt0109744,173865.0
Mindwarp,tt0100152,45779.0
Poison,tt28912885,
Satantango,tt0111341,31414.0
Rangeela,tt0114234,21570.0
The Unknown Cyclist,tt0120417,273341.0
A Nymphoid Barbarian in Dinosaur Hell,tt0102569,31647.0
Dying of Laughter,tt0168080,57544.0
Fortress 2: Re-Entry,tt0179183,11119.0
Fist of the North Star,tt0142371,19877.0
Counterforce,tt0092787,
Joan of Arc,tt0178145,11944.0
Godzilla vs. SpaceGodzilla,tt0109916,39466.0
The Surgeon,tt0109761,133339.0
Captain America,tt0103923,13995.0
The Rookie,tt7587890,
"Honey, We Shrunk Ourselves!",tt0119310,11425.0
Abraham,tt0109036,2701.0
Once Upon a Time in China and America,tt0120530,10620.0
David,tt2358412,
Buffy the Vampire Slayer,tt0118276,
Overnight Delivery,tt0117276,25723.0
The Hunters,tt0116736,16003.0
Run,tt8633478,
Black and White,tt1636833,
The Three Brothers,tt0006158,
Unforgettable,tt1842530,
Camilla,tt0109368,79783.0
Theodore Rex,tt0114658,36259.0
Ri¢hie Ri¢h,tt0144065,
Lost in Space,tt5232792,
The Stand,tt0108941,13519.0
Animal Farm,tt0047834,11848.0
Snow White: A Tale of Terror,tt0119227,9092.0
The Barber of Siberia,tt0120125,51300.0
Solar Crisis,tt0100649,2102.0
Being Human,tt1595680,
The Hexer,tt0300657,57278.0
Find Love,tt0443507,46891.0
Second Skin,tt0232611,171229.0
2:13,tt1002561,39303.0
A Moment to Remember,tt0428870,15859.0
Babysitters Beware,tt1172997,58832.0
Margaret Thatcher: The Long Walk to Finchley,tt1067578,85788.0
Big Buck Bunny,tt1254207,10378.0
Fall from Grace,tt0977649,66110.0
Mugavari,tt1388441,69404.0
Ryna,tt0449642,89309.0
The Art of Travel,tt0448993,18175.0
Single White Female 2: The Psycho,tt0448120,35683.0
Quiet Flows the Don,tt0051082,109991.0
Mechenosets,tt0477337,63838.0
A Dog's Breakfast,tt0796314,18632.0
One Nine Nine Four,tt1002573,97310.0
After Image,tt0157007,154105.0
Naked Ambition: An R Rated Look at an X Rated Industry,tt1404702,56325.0
Legacy of Zyzzyx Road,tt32632312,
Alone in the Dark 2,tt1120966,
The Assailant,tt1322277,23854.0
The Legend of Bloody Mary,tt1190074,60965.0
Le château maléfique,tt18260344,
Battle Royale,tt0266308,3176.0
Sarkar,tt7715202,
Canvas,tt9711282,
Heavens Fall,tt0425094,34898.0
Ring of Darkness,tt0372803,28684.0
Ghost Writer,tt10280220,
Replica,tt0374170,434510.0
Angels Don't Sleep Here,tt0241183,278111.0
Lost Signal,tt0495042,56860.0
The Devil Dared Me To,tt0970529,17303.0
Artois the Goat,tt1292643,51290.0
The Skulls II,tt0278723,8460.0
Purple Violets,tt0491109,20065.0
Shadow of the Eagle,tt0437273,
Righteous Ties,tt0891488,55765.0
Mary and Max,tt0978762,24238.0
Mother of Mine,tt0343221,32990.0
"Lord, Save Us from Your Followers",tt1237900,42910.0
Kandukondain Kandukondain,tt0242572,69426.0
Anotherworld,tt1159200,96306.0
Salute,tt13978658,
Speed & Angels,tt1112756,56745.0
Imagination,tt0970519,70656.0
Kidulthood,tt0435680,13185.0
Header,tt0861350,46548.0
Amateur Porn Star Killer,tt0772152,35733.0
Lunch Box,tt0104778,
Popular Music,tt0314524,442.0
Grizzly Rage,tt0896816,30641.0
Addictions and Subtractions,tt0265825,258450.0
Max Manus: Man of War,tt1029235,13752.0
Dracula III: Legacy,tt0303929,10579.0
No Mercy for the Rude,tt0856052,43987.0
Recep Ivedik,tt1193516,31060.0
Stay Cool,tt1235807,11388.0
Hellraiser: Hellseeker,tt0274546,11246.0
Steam,tt1403246,
MR Exotic VS the Villan Lair,tt26765337,
Istanbul Tales,tt0421625,30633.0
They Nest,tt0221633,40249.0
Plus One,tt7645122,
Platon,tt1202532,71322.0
The Life of Buddha,tt1039902,68365.0
Sexual Predator,tt0261014,65364.0
Black Water,tt0816436,14138.0
Ploy,tt0993778,14234.0
The River,tt1836195,
The Thirsting,tt0765481,27696.0
R60 Snakeman Show,tt1856506,
Chainsaw Sally,tt0385592,30385.0
Stark Raving Mad,tt0286152,14809.0
Checking Out,tt0417532,54625.0
Pop Skull,tt1110059,27671.0
High Plains Invaders,tt1388432,36139.0
Red Canyon,tt1064801,40599.0
The Learning Curve,tt0219126,57743.0
Lie with Me,tt0418832,14174.0
Go Go Tales,tt0393329,50318.0
Prince Among Slaves,tt0852992,309579.0
Speak,tt0378793,15058.0
Legendary Assassin,tt1236370,26010.0
Taare Zameen Par,tt13300004,
Phileine Says Sorry,tt0314502,24285.0
Chill,tt0862892,52685.0
Malibu Shark Attack,tt1478325,53080.0
Prime Mover,tt1156396,123846.0
Dead Man's Hand,tt23469212,
Tere Naam,tt11047176,
Decoys 2: Alien Seduction,tt0400347,18443.0
August Underground's Mordum,tt0410332,24837.0
Blood Night: The Legend of Mary Hatchet,tt1161404,47194.0
Wolves in the Snow,tt0312612,55012.0
Breaking the Maya Code,tt0496253,57000.0
Dead End Road,tt0439532,239628.0
In the Shadow of the Moon,tt8110640,
Trailer Park Boys: Countdown to Liquor Day,tt1337032,27561.0
Gacy,tt0330181,27387.0
Chance,tt5620076,
'Saippuaprinssi' making of,tt0934902,
Blue Gold: World Water Wars,tt1137439,18046.0
California Dreamin',tt0449573,24220.0
The Breath,tt1171701,27957.0
The Hollow,tt6193336,
Dagon,tt0264508,10836.0
Next Door,tt0453383,572.0
Head Trauma,tt0439194,50317.0
Company,tt0296574,15761.0
Elsewhere,tt0874271,28891.0
Batman: Gotham Knight,tt1117563,13851.0
The Pornographer,tt0262699,15915.0
Keep Your Distance,tt0337656,47540.0
Azzurro,tt0256627,54627.0
The Kid & I,tt0416891,64972.0
Allan Quatermain and the Temple of Skulls,tt1219671,14103.0
2001 Maniacs,tt0264323,10845.0
Breaking Point,tt0965375,32005.0
Make-Out with Violence,tt1284485,51122.0
Ip Man,tt1220719,14756.0
Camille,tt0028683,43874.0
Intimate Affairs,tt0243991,47237.0
Rain Fall,tt1206086,27944.0
The Badge,tt0286493,2091.0
Natural City,tt0378428,14573.0
Evilenko,tt0406754,46342.0
"The Tulse Luper Suitcases, Part 1: The Moab Story",tt0307596,3097.0
Wendy Wu: Homecoming Warrior,tt0790781,61717.0
Welcome to the Sticks,tt1064932,8265.0
The Devil's Tomb,tt1147687,17577.0
Amusement,tt0476958,13803.0
Cabin Fever 2: Spring Fever,tt0961722,28739.0
Open Graves,tt0870937,28499.0
Joe and Max,tt0281938,111744.0
The Magic Roundabout,tt0339334,16455.0
Bruno,tt0123003,95136.0
100 Feet,tt0899128,14098.0
The Curse of King Tut's Tomb,tt0464799,15056.0
All the Best,tt2454836,
Edges of the Lord,tt0245090,48130.0
Bachelor Party 2: The Last Temptation,tt0954541,14503.0
Godzilla vs. Megaguirus,tt0255198,39468.0
Chain of Fools,tt0194368,20682.0
Lascars,tt0856138,
Green Street Hooligans 2,tt1300853,15809.0
The Interceptor,tt3654614,
Triangle,tt1187064,26466.0
Walkout,tt0452703,93511.0
Chaos,tt0402910,5289.0
A Little Trip to Heaven,tt0420740,15124.0
Dragon Hunters,tt0944834,10800.0
House of the Dead 2,tt0435665,29293.0
Connected,tt1156506,19611.0
Flight of Fury,tt0783518,24351.0
It's Alive,tt0071675,28153.0
The Wave,tt1063669,7735.0
Adam Resurrected,tt0479341,18516.0
Stargate: Continuum,tt0929629,12914.0
The Last Trapper,tt0395514,13678.0
Out of Reach,tt0377100,36272.0
Merlin's Apprentice,tt0463826,18202.0
10.5,tt0364146,53870.0
Out for a Kill,tt0323531,30806.0
On the Edge,tt0221559,80070.0
Trick 'r Treat,tt0862856,23202.0
Assassination of a High School President,tt1018818,18176.0
Angel,tt0162065,
Incendiary,tt0984200,15705.0
The Big White,tt0402850,9968.0
Godzilla Against Mechagodzilla,tt0314111,12636.0
Empire of the Wolves,tt0402158,10799.0
Lucky Luke,tt0175863,
123 D-Tox/Eye See You (2002),tt18761394,
A Matador's Mistress,tt0491046,45127.0
A Pain in the Ass,tt0072934,
Far Cry,tt0400426,7916.0
The Punisher,tt5675620,
Ripley's Game,tt0265651,10955.0
Goodbye Bafana,tt0438859,1874.0
Tristan & Isolde,tt0262069,
Daredevil,tt3322312,
Gone in Sixty Seconds at Ascot Raceway,tt18930694,
Closing the Ring,tt0488380,13957.0
Lego Harry Potter and the Philosopher's Stone,tt14149634,
X2,tt33407198,
Band of Brothers,tt0185906,331214.0
Monsters vs Aliens: Mutant Pumpkins from Outer Space,tt1482967,53985.0
Adulterers,tt4044464,376004.0
Secrets in the Snow,tt12246284,
