Title,imdbID,tmdbId,BoxOffice
Deranged,tt0071408,39844.0,0
Shock Waves,tt0076704,26680.0,0
Weasels Rip My Flesh,tt0304927,79911.0,0
Outlaw Blues,tt0076512,112731.0,0
Eraserhead,tt0074486,985.0,7000000
Shocking Asia,tt0073706,115463.0,0
Bite the Bullet,tt0072705,32617.0,0
Seizure,tt0072136,29854.0,0
Shivers,tt0073705,27429.0,1000000
Capricorn One,tt0077294,11935.0,12000000
The Great Ecstasy of Woodcarver Steiner,tt0070136,46595.0,0
Death Race 2000,tt0072856,13282.0,8000000
The Front Page,tt0071524,987.0,0
American Boy: A Profile of Steven Prince,tt0077157,33470.0,0
"Alice, Sweet Alice",tt0076150,23761.0,0
Captain Kronos: Vampire Hunter,tt0071276,18979.0,0
The Chant of Jimmie Blacksmith,tt0077318,69069.0,0
Attack of the Killer Tomatoes!,tt0080391,2182.0,0
Wizards,tt0076929,16220.0,9000000
Airport '77,tt0075648,7227.0,91100000
Nickelodeon,tt0074964,104364.0,0
Don Giovanni,tt0079063,61638.0,0
The Hindenburg,tt0073113,17599.0,0
The Wild Geese,tt0078492,7010.0,9900000
Barry Lyndon,tt0072684,3175.0,260131
Bear Island,tt0078836,38629.0,0
Logan's Run,tt0074812,10803.0,25000000
MacArthur,tt0076342,31037.0,16300000
Avalanche,tt0077189,166680.0,0
1900,tt0074084,3870.0,0
Caligula,tt0080491,9453.0,23400000
Cross of Iron,tt0074695,10839.0,1509000
Fedora,tt0077539,54000.0,0
Big Wednesday,tt0077235,18387.0,0
The Fury,tt0077588,12611.0,24000000
Damnation Alley,tt0075909,25763.0,8720000
Sorcerer,tt0076740,38985.0,9000000
Terror Train,tt0081617,40969.0,0
Mephisto,tt0082736,11911.0,0
Hey Good Lookin',tt0084070,32202.0,0
Combat Shock,tt0090866,26558.0,0
Fear No Evil,tt0082367,91817.0,3000000
Santa Sangre,tt0098253,19236.0,0
Robo Vampire,tt0121694,88377.0,0
Surfacing,tt0088208,282298.0,0
Slime City,tt0234748,27548.0,0
Another State of Mind,tt0198307,42082.0,0
Polyester,tt0082926,14269.0,0
The Devil at Your Heels,tt0132082,49991.0,0
America 3000,tt0090630,27270.0,0
Manhattan Baby,tt0084298,30875.0,0
The Mahabharata,tt0097810,150523.0,0
Mesmerized,tt0091513,73515.0,0
Class of 1984,tt0083739,11564.0,0
Bad Taste,tt0092610,9964.0,0
Killer Klowns from Outer Space,tt0095444,16296.0,43625095
Sorority Babes in the Slimeball Bowl-O-Rama,tt0096142,27390.0,0
Raiders of the Lost Ark: The Adaptation,tt0772251,62128.0,0
Without Warning,tt0081764,44932.0,0
Malibu Express,tt0089539,64494.0,0
Who's Singin' Over There?,tt0076276,17909.0,0
Neon Maniacs,tt0127045,26676.0,0
Vincent,tt0084868,32085.0,0
The Park Is Mine,tt0091724,53157.0,0
Galaxy of Terror,tt0082431,28893.0,0
Mickey's Christmas Carol,tt0085936,14813.0,21000000
Black Eagle,tt0094750,18214.0,0
The Unseen,tt0083261,40241.0,0
Phenomena,tt0087909,29161.0,0
Eating Raoul,tt0083869,28940.0,0
Goodbye Pork Pie,tt0082464,16124.0,1400000
The Return of Captain Invincible,tt0086189,71016.0,0
The Decline of Western Civilization,tt0082252,21137.0,0
Scarecrows,tt0096046,40168.0,0
Hollywood Chainsaw Hookers,tt0095312,27412.0,0
Time Walker,tt0084796,30049.0,0
The Boogey Man,tt0080464,40220.0,0
Battle Beyond the Stars,tt0080421,14460.0,11000000
Julie Darling,tt0084182,81475.0,0
Godzilla vs. Biollante,tt0097444,18289.0,7000000
Evilspeak,tt0082346,39868.0,0
One Dark Night,tt0086050,37935.0,0
Trancers,tt0090192,5677.0,0
The Hills Have Eyes Part II,tt0089274,18477.0,0
Intruder,tt0095379,31150.0,0
Cannibal Holocaust,tt0078935,8689.0,2000000
Blood Beach,tt0082083,37843.0,0
Christmas Evil,tt0081793,27230.0,0
Inseminoid,tt0084090,46364.0,0
Chopping Mall,tt0090837,28941.0,0
Demons,tt0089013,14029.0,0
Running Hot,tt0088025,88338.0,0
Demons 2,tt0090930,40342.0,0
A Breed Apart,tt0087001,96404.0,0
Trances,tt0406280,215407.0,0
The Brave Little Toaster,tt0092695,19933.0,2300000
Dead & Buried,tt0082242,24274.0,216166
Rock 'n' Roll Nightmare,tt0093873,36762.0,0
The Emperor's Naked Army Marches On,tt0092963,51929.0,0
Creature,tt0088961,58903.0,0
Meet the Feebles,tt0097858,8216.0,0
The Prowler,tt0082951,44247.0,0
Chillers,tt0092750,97971.0,0
The Church,tt0094860,40364.0,0
Bride of Re-Animator,tt0099180,18111.0,0
Basket Case,tt0083624,27813.0,0
Sole Survivor,tt0181012,29611.0,0
BMX Bandits,tt0085204,17381.0,0
Ms .45,tt0082776,22171.0,0
De vlaschaard,tt0086553,63044.0,0
Mio in the Land of Faraway,tt0093543,14499.0,2300000
Elvis and Me,tt0095089,23178.0,0
The Librarian: Return to King Solomon's Mines,tt0455596,14208.0,0
Armour of God,tt0091431,10974.0,16000000
Twinkle Twinkle Lucky Stars,tt0090342,18707.0,0
Fitzcarraldo,tt0083946,9343.0,0
Rough Cut,tt1345734,17593.0,0
The Kiss,tt0139738,94570.0,0
Galaxina,tt0080771,33155.0,4865000
Cameron's Closet,tt0097008,59735.0,136203
Felix the Cat: The Movie,tt0259308,36523.0,1964253
Cherry 2000,tt0092746,15785.0,14000
Martial Arts of Shaolin,tt0091607,37032.0,0
Moonwalker,tt0095655,13192.0,67000000
Lion of the Desert,tt0081059,26843.0,1502136
Shaka Zulu,tt0086798,75926.0,0
Juha,tt0158692,55257.0,0
Absence of the Good,tt0198279,53882.0,0
Cannibal! The Musical,tt0115819,13063.0,0
Running Time,tt0120042,81048.0,1596
Bullet in the Head,tt0099426,11909.0,0
Dingo,tt0104109,66634.0,300000
Loaded,tt0893406,14607.0,0
Loose Cannons,tt1405810,40794.0,8220215
Night of the Demons 2,tt0110667,24925.0,0
A Gun for Jennifer,tt0160339,129311.0,0
Robinson in Space,tt0120028,54838.0,0
Just Looking,tt0162236,100975.0,0
Embrace of the Vampire,tt0109723,18392.0,0
Revolutionary Girl Utena: The Movie,tt0243558,19738.0,0
Wishmaster 2: Evil Never Dies,tt0156182,12594.0,0
Werewolf,tt0118137,87874.0,0
Puerto Escondido,tt0105188,46028.0,0
From Dusk Till Dawn 3: The Hangman's Daughter,tt0120695,10213.0,9617
Amarkalam,tt0984177,69427.0,500000
Habit,tt0113241,28671.0,0
Leather Jacket Love Story,tt0119508,188870.0,0
Puppet Master II,tt0100438,26954.0,0
The Delivery,tt0159603,55069.0,0
Three Lives and Only One Death,tt0117968,55049.0,0
Dad Savage,tt0118915,75579.0,0
Cyberjack,tt0112763,2072.0,0
Basket Case 2,tt0099108,27815.0,0
Changing Habits,tt0115865,114776.0,0
Short Sharp Shock,tt0162426,407.0,0
Roadracers,tt0111002,26682.0,0
Ringu,tt0178868,2671.0,19400000
Anjali,tt0099043,223365.0,0
"Ryaba, My Chicken",tt0110289,159479.0,4635143
Carnival of Souls,tt0055830,16093.0,0
The Match Factory Girl,tt0098532,7974.0,0
Demon Wind,tt0099401,58899.0,0
The Dentist,tt0116075,9568.0,0
Lush Life,tt0107464,55144.0,0
The Demolitionist,tt0112843,89904.0,0
The Oak,tt0103969,41678.0,0
The Tough Ones,tt0075152,52808.0,0
The Immortals,tt0113394,29231.0,83
Witchcraft II: The Temptress,tt0100943,84951.0,0
Sara,tt0120066,61999.0,0
Bad Boy Bubby,tt0106341,14135.0,0
After the Rain,tt0181960,15319.0,0
Whispering Corridors,tt0241073,40254.0,0
Begotten,tt0101420,1483.0,0
Aasai,tt0377321,69422.0,500000
Squeeze,tt0117724,49235.0,10300
Bells from the Deep: Faith and Superstition in Russia,tt0106384,102691.0,0
Return with Honor,tt0176093,56235.0,0
Maniac Cop 2,tt0100107,28090.0,0
Ticks,tt0108339,34098.0,0
Doctor Mordrid,tt0104115,1877.0,0
Hard Boiled,tt0104684,11782.0,0
Kadhal Kottai,tt0984202,69423.0,500000
Esa ja Vesa - auringonlaskun ratsastajat,tt0109744,173865.0,0
Mindwarp,tt0100152,45779.0,0
Satantango,tt0111341,31414.0,0
Rangeela,tt0114234,21570.0,14000000
The Unknown Cyclist,tt0120417,273341.0,0
A Nymphoid Barbarian in Dinosaur Hell,tt0102569,31647.0,0
Dying of Laughter,tt0168080,57544.0,0
Fortress 2: Re-Entry,tt0179183,11119.0,0
Fist of the North Star,tt0142371,19877.0,18000000
Joan of Arc,tt0178145,11944.0,0
Godzilla vs. SpaceGodzilla,tt0109916,39466.0,20000000
The Surgeon,tt0109761,133339.0,0
Captain America,tt0103923,13995.0,0
"Honey, We Shrunk Ourselves!",tt0119310,11425.0,0
Abraham,tt0109036,2701.0,0
Once Upon a Time in China and America,tt0120530,10620.0,0
Overnight Delivery,tt0117276,25723.0,0
The Hunters,tt0116736,16003.0,0
Camilla,tt0109368,79783.0,250993
Theodore Rex,tt0114658,36259.0,0
The Stand,tt0108941,13519.0,0
Animal Farm,tt0047834,11848.0,0
Snow White: A Tale of Terror,tt0119227,9092.0,0
The Barber of Siberia,tt0120125,51300.0,0
Solar Crisis,tt0100649,2102.0,0
The Hexer,tt0300657,57278.0,0
Find Love,tt0443507,46891.0,0
Second Skin,tt0232611,171229.0,0
2:13,tt1002561,39303.0,0
A Moment to Remember,tt0428870,15859.0,0
Babysitters Beware,tt1172997,58832.0,0
Margaret Thatcher: The Long Walk to Finchley,tt1067578,85788.0,0
Big Buck Bunny,tt1254207,10378.0,0
Fall from Grace,tt0977649,66110.0,0
Mugavari,tt1388441,69404.0,0
Ryna,tt0449642,89309.0,0
The Art of Travel,tt0448993,18175.0,0
Single White Female 2: The Psycho,tt0448120,35683.0,0
Quiet Flows the Don,tt0051082,109991.0,0
Mechenosets,tt0477337,63838.0,3919731
A Dog's Breakfast,tt0796314,18632.0,0
One Nine Nine Four,tt1002573,97310.0,0
After Image,tt0157007,154105.0,0
Naked Ambition: An R Rated Look at an X Rated Industry,tt1404702,56325.0,0
The Assailant,tt1322277,23854.0,0
The Legend of Bloody Mary,tt1190074,60965.0,0
Battle Royale,tt0266308,3176.0,30600000
Heavens Fall,tt0425094,34898.0,0
Ring of Darkness,tt0372803,28684.0,0
Replica,tt0374170,434510.0,0
Angels Don't Sleep Here,tt0241183,278111.0,0
Lost Signal,tt0495042,56860.0,0
The Devil Dared Me To,tt0970529,17303.0,0
Artois the Goat,tt1292643,51290.0,0
The Skulls II,tt0278723,8460.0,0
Purple Violets,tt0491109,20065.0,0
Righteous Ties,tt0891488,55765.0,0
Mary and Max,tt0978762,24238.0,1740429
Mother of Mine,tt0343221,32990.0,2851888
"Lord, Save Us from Your Followers",tt1237900,42910.0,0
Kandukondain Kandukondain,tt0242572,69426.0,500000
Anotherworld,tt1159200,96306.0,0
Speed & Angels,tt1112756,56745.0,0
Imagination,tt0970519,70656.0,0
Kidulthood,tt0435680,13185.0,165000
Header,tt0861350,46548.0,0
Amateur Porn Star Killer,tt0772152,35733.0,0
Popular Music,tt0314524,442.0,28000000
Grizzly Rage,tt0896816,30641.0,0
Addictions and Subtractions,tt0265825,258450.0,0
Max Manus: Man of War,tt1029235,13752.0,0
Dracula III: Legacy,tt0303929,10579.0,0
No Mercy for the Rude,tt0856052,43987.0,0
Recep Ivedik,tt1193516,31060.0,28548025
Stay Cool,tt1235807,11388.0,0
Hellraiser: Hellseeker,tt0274546,11246.0,0
Istanbul Tales,tt0421625,30633.0,0
They Nest,tt0221633,40249.0,0
