Movie,Total Reviews,Positive (%),Negative (%),Neutral (%)
Barbie,15,73.33333333333333,20.0,6.666666666666667
Oppenheimer,19,89.47368421052632,10.526315789473683,0.0
The Marvels,21,66.66666666666666,33.33333333333333,0.0
Dune: Part Two,15,93.33333333333333,6.666666666666667,0.0
